date,t_2,t_4,t_6,t_7.313,t_8,t_10
2022-06-02,62,44,20,12,9,1
2022-06-03,60,34,11,6,2,0
2022-06-04,31,8,3,3,3,1
2022-06-05,24,4,0,0,0,0
2022-06-06,47,17,11,8,5,0
2022-06-07,197,152,97,63,54,21
2022-06-08,114,55,34,22,14,4
2022-06-09,233,156,89,46,36,8
2022-06-10,289,204,118,75,47,11
2022-06-11,663,466,304,199,152,50
2022-06-12,410,260,151,84,53,10
2022-06-13,538,324,175,93,60,15
2022-06-14,783,496,293,199,148,53
2022-06-15,1796,1405,1030,789,653,328
2022-06-16,1602,1304,1029,810,711,392
2022-06-17,875,706,534,407,346,191
2022-06-18,1593,1246,917,701,571,263
2022-06-19,1349,1024,730,535,429,186
2022-06-20,1201,873,633,463,369,164
2022-06-21,984,626,371,250,192,75
2022-06-22,1192,810,521,376,307,134
2022-06-23,1590,1286,1034,788,657,329
2022-06-24,1297,995,712,526,442,217
2022-06-25,825,587,392,280,242,100
2022-06-26,777,581,377,260,215,80
2022-06-27,378,226,113,76,55,17
2022-06-28,192,114,65,50,35,15
2022-06-29,171,92,48,26,16,9
2022-06-30,71,21,11,9,7,4
2022-07-01,24,10,7,2,2,1
2022-07-02,20,1,0,0,0,0
2022-07-03,15,4,2,1,1,0
2022-07-04,12,1,0,0,0,0
2022-07-05,11,1,0,0,0,0
2022-07-06,10,2,0,0,0,0
2022-07-07,15,4,1,0,0,0
2022-07-08,24,6,0,0,0,0
2022-07-09,12,1,1,0,0,0
2022-07-10,19,6,1,0,0,0
2022-07-11,39,8,1,0,0,0
2022-07-12,16,2,0,0,0,0
2022-07-13,48,11,0,0,0,0
2022-07-14,27,1,0,0,0,0
2022-07-15,31,2,0,0,0,0
2022-07-16,23,3,1,0,0,0
2022-07-17,28,3,0,0,0,0
2022-07-18,21,2,0,0,0,0
2022-07-19,29,4,0,0,0,0
2022-07-20,23,1,1,0,0,0
2022-07-21,41,3,1,0,0,0
2022-07-22,29,12,9,4,2,0
